time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1742660712887000000,1.083,45,1.5,1,13.736000061035156,0.1369825303554535,144.59564208984375,532.2999877929688,78.571491,17.5446651
1742660718749000000,6.945,45,1.5,1.05452561378479,19.236000061035156,0.10235439240932465,68.85231018066406,532.3999633789062,78.5714964,17.544668
1742660723970000000,12.165999755859374,45,1.5,1.4749013185501099,20.665000915527344,1.380622386932373,57.991455078125,536,78.571576,17.5447158
1742660729084000000,17.28,45,1.5,1.9387695789337158,21.795000076293945,1.339348316192627,166.5559844970703,532.3999633789062,78.5715715,17.5446119
1742660734029000000,22.225,45,1.5,1.7383134365081787,22.5049991607666,3.211749792098999,170.871826171875,532.3999633789062,78.5716001,17.5444279
1742660738986000000,27.181999755859376,45,1.5,2.2882964611053467,22.559999465942383,1.1731129884719849,114.09332275390625,532.3999633789062,78.5716645,17.5444721
1742660743917000000,32.113,45,1.5,1.3819515705108643,20.409000396728516,2.714646339416504,321.9844970703125,532.2999877929688,78.5715199,17.5446278
1742660748919000000,37.115,45,1.5,2.4449450969696045,33.57899856567383,0.8915013074874878,117.33683776855469,536,78.5716096,17.5445577
1742660753947000000,42.143,45,1.5,22.551902770996094,60,1.9393751621246338,100.38543701171875,540.5999755859375,78.571737,17.5445438
1742660758909000000,47.105,45,1.5,3.7940216064453125,55.7130012512207,1.1169719696044922,86.18798828125,532.3999633789062,78.5717505,17.5445668
1742660764152000000,52.348,45,1.5,1.6264532804489136,30.30699920654297,3.128836154937744,133.84890747070312,532.5999755859375,78.5719194,17.5443574
1742660769098000000,57.293999755859375,45,1.5,2.1149532794952393,28.420000076293945,2.2270469665527344,118.34148406982422,532.5999755859375,78.5720014,17.5443443
1742660774072000000,62.268,45,1.5,3.866969347000122,30.209999084472656,0.8243785500526428,126.90473937988281,532.5999755859375,78.5719965,17.5443369
1742660776390234600,64.58623461914063,0,1.5,3.8901517391204834,35.242000579833984,0.012208322063088417,0,532.5999755859375,78.5719773,17.5443499
1742660777380832300,65.57683227539063,179.89999389648438,7.199999809265137,3.900057554244995,26.4950008392334,0.4949991703033447,358.62518310546875,532.5999755859375,78.5719005,17.5445848
1742660778381408500,66.57740844726563,179.89999389648438,4.699999809265137,3.9100635051727295,21.770999908447266,0.6537231206893921,176.13311767578125,532.5999755859375,78.5719516,17.5444615
1742660779390405000,67.58640502929687,138.6999969482422,3.0999999046325684,3.9201533794403076,15.02400016784668,1.1584640741348267,178.60293579101562,532.5999755859375,78.5720024,17.5443695
1742660780391051500,68.58705151367188,147.3000030517578,2.5,3.9301598072052,13.378999710083008,0.6900643110275269,180.48709106445312,532.5999755859375,78.5720169,17.5443352
1742660781387500500,69.58350048828125,71,2.0999999046325684,3.940124273300171,12.215999603271484,0.2767733633518219,184.12782287597656,532.5999755859375,78.5720331,17.544321
1742660782381368000,70.5773681640625,0,1.7000000476837158,3.9500629901885986,6.71999979019165,0.05008731782436371,0,532.5999755859375,78.5720738,17.5443144
1742660783381893000,71.57789306640625,0,1.600000023841858,3.9600682258605957,6.320000171661377,0.04406605288386345,0,532.5999755859375,78.5721028,17.5443092
1742660783985000000,72.181,0,1.600000023841858,6.656400203704834,6.199999809265137,0.07090005278587341,0,536.2999877929688,78.5721117,17.5443079
1742660784379892700,72.57589282226563,0,1.899999976158142,6.660348892211914,6,0.058157604187726974,0,536.2999877929688,78.5721267,17.5443044
1742660785380297000,73.576296875,0,1.7999999523162842,6.670352935791016,5.571000099182129,0.05462656170129776,0,536.2999877929688,78.5721546,17.5442993
1742660786988050200,75.18405029296875,0,2.4000000953674316,6.686430931091309,4.866000175476074,0.04049326479434967,0,536.2999877929688,78.5721611,17.5442975
1742660787987128800,76.18312890625,149.3000030517578,2.4000000953674316,6.6964216232299805,4.366000175476074,0.22369082272052765,122.04396057128906,536.2999877929688,78.572165,17.5442979
1742660788987703800,77.18370385742188,52.900001525878906,1.600000023841858,6.706427097320557,3.5199999809265137,0.7415077686309814,110.029541015625,536.2999877929688,78.5721685,17.5442977
1742660789995929300,78.19192944335937,69.30000305175781,1.899999976158142,1.9698851108551025,3.059999942779541,0.7391546368598938,90.9684829711914,532.5999755859375,78.5721751,17.5442953
1742660790997449500,79.19344946289063,84.0999984741211,1.899999976158142,1.9799002408981323,2.759999990463257,0.6841199398040771,103.41780090332031,532.5999755859375,78.5721828,17.5442927
1742660791996531200,80.19253125,68,2,1.9898910522460938,2.559999942779541,0.7910332679748535,104.44786071777344,532.5999755859375,78.5721922,17.5442881
1742660792988782600,81.18478247070313,38.79999923706055,1.7999999523162842,1.9998135566711426,2.4600000381469727,1.3484423160552979,117.65640258789062,532.5999755859375,78.5722073,17.5442829
1742660793988687400,82.18468725585937,62.79999923706055,2,2.009812593460083,2.4200000762939453,1.2342143058776855,123.85581970214844,532.5999755859375,78.5722182,17.5442756
1742660794103000000,82.299,62.79999923706055,2,6.018150806427002,2.4159998893737793,1.203987717628479,125.59984588623047,536.2999877929688,78.5722188,17.544275
1742660794998761200,83.19476123046876,51.20000076293945,1.7999999523162842,6.027108192443848,2.4000000953674316,1.2599210739135742,125.13678741455078,536.2999877929688,78.572229,17.5442697
1742660795996283400,84.19228344726562,77.0999984741211,1.7000000476837158,6.037083625793457,2.384999990463257,0.9940590858459473,130.74732971191406,536.2999877929688,78.572237,17.5442622
