time,seconds_elapsed,lux
1742663102484121300,2390.680121337891,1
1742663102884117500,2391.0801174316407,0
1742663103084228400,2391.2802282714842,1
1742663103284234500,2391.480234375,0
1742663103884115000,2392.0801149902345,1
1742663105083678500,2393.2796784667967,2
1742663105484122400,2393.680122314453,1
1742663105684134700,2393.880134765625,2
1742663106283964400,2394.479964355469,1
1742663106684136000,2394.8801359863282,2
1742663107484215800,2395.6802158203127,3
1742663107684042500,2395.8800424804685,2
1742663108084130600,2396.280130615234,3
1742663108284142000,2396.480142089844,2
1742663108684133000,2396.8801330566407,3
1742663108884213500,2397.080213623047,7
1742663109084033500,2397.280033447266,3
1742663109484124400,2397.6801245117185,5
1742663109684137200,2397.880137207031,15
1742663109884117500,2398.0801174316407,19
1742663110084131000,2398.2801311035155,30
1742663110284237800,2398.4802377929686,29
1742663110484040200,2398.680040283203,15
1742663110683751700,2398.8797517089843,32
1742663110884119800,2399.080119873047,58
1742663111084133600,2399.2801335449217,63
1742663111284145400,2399.4801455078127,96
1742663111484131300,2399.6801313476562,119
1742663111684236300,2399.880236328125,123
1742663111884127700,2400.080127685547,133
1742663112083784700,2400.2797846679687,170
1742663112284154000,2400.480154052734,204
1742663112484136000,2400.680135986328,211
1742663112684149800,2400.880149658203,194
1742663112884125200,2401.0801252441406,146
1742663113084228600,2401.280228515625,81
1742663113284238300,2401.48023828125,41
1742663113483762000,2401.6797619628906,47
1742663113684142800,2401.8801428222655,57
1742663113884122400,2402.080122314453,59
1742663114084136200,2402.2801362304685,68
1742663114284152300,2402.48015234375,84
1742663114484227300,2402.6802272949217,87
1742663114684268500,2402.8802685546875,86
1742663114883753000,2403.0797529296874,79
1742663115084139000,2403.2801389160154,66
1742663115284149800,2403.480149658203,56
1742663115484131800,2403.6801318359376,47
1742663115884222500,2404.0802224121094,46
1742663116084259000,2404.280259033203,32
1742663116283781000,2404.4797810058594,30
1742663116484131300,2404.6801313476562,26
1742663116684143600,2404.8801435546875,43
1742663117084141600,2405.2801416015627,15
1742663117284241700,2405.480241699219,13
1742663117484249000,2405.6802490234377,15
1742663117683924500,2405.879924560547,19
1742663117884118800,2406.0801188964842,15
1742663118084133400,2406.2801333007815,13
1742663118284145400,2406.4801455078127,12
1742663118484127500,2406.680127441406,21
1742663118684245800,2406.8802458496093,26
1742663118884240100,2407.080240234375,1
1742663119083647500,2407.2796474609377,0
1742663119284145000,2407.4801447753907,3
1742663119484137700,2407.6801376953126,25
1742663119684137500,2407.880137451172,31
1742663119884120300,2408.080120361328,6
1742663120084222000,2408.2802219238283,1
1742663120684136400,2408.8801364746096,4
1742663120884120600,2409.080120605469,5
1742663121284143400,2409.4801433105467,3
1742663121484223000,2409.6802229003906,7
1742663121684264400,2409.8802644042967,9
1742663122084137500,2410.280137451172,4
1742663122284149000,2410.480148925781,17
1742663122484131300,2410.6801313476562,19
1742663122884222700,2411.08022265625,18
1742663123084256000,2411.2802561035155,7
1742663123283708200,2411.479708251953,6
1742663123484131600,2411.680131591797,11
1742663123684146400,2411.880146484375,4
1742663123884128000,2412.0801279296875,3
1742663124084134700,2412.280134765625,2
1742663124484222700,2412.68022265625,4
1742663124683743000,2412.8797429199217,10
1742663124884335600,2413.0803356933593,8
1742663125084137000,2413.2801369628905,2
1742663125284140500,2413.480140625,6
1742663125484126500,2413.680126464844,7
1742663125684243200,2413.8802431640624,9
1742663125884217600,2414.080217529297,10
1742663126083926000,2414.2799260253905,9
1742663126283670500,2414.4796704101564,5
1742663126484128300,2414.680128173828,2
1742663126884118800,2415.0801188964842,1
1742663127084238000,2415.2802380371095,2
1742663127284240600,2415.480240722656,4
1742663127484008400,2415.6800085449217,8
1742663127683750700,2415.879750732422,3
1742663127884123100,2416.080123046875,11
1742663128084134400,2416.2801345214843,12
1742663128484123600,2416.6801235351563,1
1742663128884117500,2417.0801174316407,7
1742663129083770400,2417.2797702636717,0
1742663129284143400,2417.4801433105467,4
1742663129484123400,2417.6801232910157,3
1742663129684133000,2417.8801330566407,1
1742663129884117800,2418.0801176757814,4
1742663130084224800,2418.280224853516,3
1742663130284230000,2418.4802299804687,0
1742663130483755000,2418.6797551269533,1
1742663130884119300,2419.0801193847656,0
1742663131084127700,2419.280127685547,1
1742663131484216000,2419.680216064453,0
