time,seconds_elapsed,z,y,x
1742643386087304200,-0.03069580078125,9.799580574035645,0.3722989857196808,-0.00021699999342672527
1742643386389862000,0.27186181640625,9.799580574035645,0.3722989857196808,-0.00021699999342672527
1742643386413698000,0.295697998046875,9.779500961303711,0.5259990096092224,-0.5050600171089172
1742643386437535000,0.319534912109375,9.789142608642578,0.4151589870452881,-0.4131999909877777
1742643386453425200,0.335425048828125,9.789142608642578,0.4151589870452881,-0.4131999909877777
1742643386469315600,0.351315673828125,9.792838096618652,0.36136600375175476,-0.3743399977684021
1742643386485204200,0.367204345703125,9.795748710632324,0.31252598762512207,-0.34059399366378784
1742643386501093600,0.38309375,9.797616004943848,0.2723119854927063,-0.3208790123462677
1742643386516983800,0.39898388671875,9.798627853393555,0.24258700013160706,-0.3137510120868683
1742643386532874800,0.414874755859375,9.798627853393555,0.24258700013160706,-0.3137510120868683
1742643386548765400,0.430765380859375,9.79931926727295,0.21743899583816528,-0.31057998538017273
1742643386564657700,0.44665771484375,9.799789428710938,0.1951719969511032,-0.31053298711776733
1742643386580548000,0.462548095703125,9.800100326538086,0.17655199766159058,-0.3118540048599243
1742643386596438800,0.478438720703125,9.800315856933594,0.16158199310302734,-0.31317800283432007
1742643386612329700,0.494329833984375,9.800315856933594,0.16158199310302734,-0.31317800283432007
1742643386628220700,0.510220703125,9.800546646118164,0.14683599770069122,-0.3132280111312866
1742643386644112600,0.526112548828125,9.800745010375977,0.13226200640201569,-0.31349799036979675
1742643386660005400,0.54200537109375,9.800884246826172,0.11835899949073792,-0.314752995967865
1742643386675895600,0.5578955078125,9.800918579101562,0.10569100081920624,-0.3181360065937042
1742643386691785000,0.573784912109375,9.800918579101562,0.10569100081920624,-0.3181360065937042
1742643386707676000,0.589676025390625,9.800797462463379,0.09511200338602066,-0.3251650035381317
1742643386723566800,0.60556689453125,9.800514221191406,0.08692699670791626,-0.3357970118522644
1742643386739457500,0.62145751953125,9.800163269042969,0.0810609981417656,-0.3472920060157776
1742643386755349000,0.637348876953125,9.7998628616333,0.07685200124979019,-0.3565930128097534
1742643386771244300,0.653244384765625,9.7998628616333,0.07685200124979019,-0.3565930128097534
1742643386787134700,0.669134765625,9.79969596862793,0.0732709988951683,-0.36192700266838074
1742643386803024600,0.685024658203125,9.799660682678223,0.06907399743795395,-0.3636850118637085
1742643386818917000,0.700917236328125,9.799688339233398,0.06362500041723251,-0.3639270067214966
1742643386834809000,0.71680908203125,9.799720764160156,0.05745900049805641,-0.36407899856567383
1742643386850701600,0.73270166015625,9.799720764160156,0.05745900049805641,-0.36407899856567383
1742643386866591700,0.748591796875,9.799784660339355,0.051708001643419266,-0.36326301097869873
1742643386890426400,0.77242626953125,9.799860000610352,0.04591500014066696,-0.3619840145111084
1742643386906318600,0.788318603515625,9.799914360046387,0.041071999818086624,-0.36108800768852234
1742643386922211800,0.8042119140625,9.799956321716309,0.037730999290943146,-0.36032599210739136
1742643386938103800,0.820103759765625,9.800044059753418,0.035287000238895416,-0.35813799500465393
1742643386953996000,0.83599609375,9.800044059753418,0.035287000238895416,-0.35813799500465393
1742643386969890300,0.851890380859375,9.800232887268066,0.033229000866413116,-0.3531480133533478
1742643386985785300,0.867785400390625,9.80049991607666,0.031314000487327576,-0.3458549976348877
1742643387009626400,0.89162646484375,9.800792694091797,0.029465999454259872,-0.3376289904117584
1742643387025518300,0.907518310546875,9.801042556762695,0.027713000774383545,-0.3304719924926758
1742643387041409500,0.923409423828125,9.801236152648926,0.02591400034725666,-0.32478898763656616
1742643387057302000,0.939302001953125,9.801400184631348,0.024103999137878418,-0.3199639916419983
1742643387073193700,0.95519384765625,9.801400184631348,0.024103999137878418,-0.3199639916419983
1742643387089083600,0.971083740234375,9.801528930664062,0.022808000445365906,-0.31606701016426086
1742643387104975000,0.98697509765625,9.801568031311035,0.022518999874591827,-0.31488800048828125
1742643387120865800,1.00286572265625,9.80150318145752,0.022784000262618065,-0.31689101457595825
1742643387136756500,1.018756591796875,9.801382064819336,0.023089999333024025,-0.32058799266815186
1742643387152650500,1.034650390625,9.801382064819336,0.023089999333024025,-0.32058799266815186
1742643387168542200,1.050542236328125,9.801262855529785,0.023572999984025955,-0.3242039978504181
1742643387184433700,1.06643359375,9.801175117492676,0.023811999708414078,-0.326790988445282
1742643387200324900,1.082324951171875,9.801112174987793,0.023420000448822975,-0.32872700691223145
1742643387216216600,1.098216552734375,9.80104923248291,0.022693999111652374,-0.3306080102920532
1742643387232106800,1.114106689453125,9.80104923248291,0.022693999111652374,-0.3306080102920532
1742643387247998200,1.129998291015625,9.80097770690918,0.021916000172495842,-0.3328000009059906
1742643387263890700,1.145890625,9.800902366638184,0.021040000021457672,-0.33504000306129456
1742643387279783400,1.161783447265625,9.800832748413086,0.02050199918448925,-0.3371120095252991
1742643387295676400,1.177676513671875,9.800765037536621,0.020476000383496284,-0.33910098671913147
1742643387311568100,1.193568115234375,9.800765037536621,0.020476000383496284,-0.33910098671913147
1742643387327459300,1.209459228515625,9.800698280334473,0.0207349993288517,-0.34099501371383667
1742643387343350300,1.225350341796875,9.800639152526855,0.021059000864624977,-0.3426769971847534
1742643387359239700,1.24123974609375,9.800586700439453,0.021431000903248787,-0.3441520035266876
1742643387375129900,1.2571298828125,9.80054759979248,0.021508000791072845,-0.3452390134334564
1742643387391020000,1.27302001953125,9.80054759979248,0.021508000791072845,-0.3452390134334564
1742643387406909000,1.288908935546875,9.800551414489746,0.021159999072551727,-0.3451699912548065
