time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1742643387870000000,1.752000244140625,45,1.5,5.501156806945801,36.900001525878906,0,0,532.0999755859375,78.5707071,17.5446368
1742643391428000000,5.31,0,1.5,5.501156806945801,36.900001525878906,0,0,532.0999755859375,78.5707071,17.5446368
1742643397030000000,10.912000244140625,0,1.5,4.622499942779541,30,0.008624820969998837,0,532.0999755859375,78.5707077,17.5446373
1742643401465000000,15.347,0,1.5,4.622499942779541,30,0.007449079770594835,0,532.0999755859375,78.5707079,17.5446374
1742643407033000000,20.915,0,1.5,3.0944008827209473,20.399999618530273,0.006355758290737867,0,532.0999755859375,78.570708,17.5446366
1742643411483000000,25.365,0,1.5,3.0944008827209473,20.399999618530273,0.005547359585762024,0,532.0999755859375,78.5707079,17.5446364
1742643417112000000,30.994,0,1.5,5.182318210601807,34.400001525878906,0.0010852162959054112,0,532.0999755859375,78.5707077,17.5446366
1742643421506000000,35.387999755859376,0,1.5,5.182318210601807,34.400001525878906,0.002591058611869812,0,532.0999755859375,78.5707076,17.5446368
1742643427121000000,41.003,0,1.5,4.376011848449707,28.100000381469727,0.005463107489049435,0,532.0999755859375,78.5707079,17.5446373
1742643431674000000,45.555999755859375,0,1.5,4.376011848449707,28.100000381469727,0.005320703145116568,0,532.0999755859375,78.5707081,17.5446375
1742643437154000000,51.03599975585937,0,1.5,3.431133985519409,24.899999618530273,0.05538831278681755,0,532.0999755859375,78.5707089,17.5446434
1742643441550000000,55.432000244140625,0,1.5,3.431133985519409,24.899999618530273,0.0540621280670166,0,532.0999755859375,78.5707092,17.5446455
1742643447184000000,61.066,0,1.5,4.148725986480713,26.399999618530273,0.015944506973028183,0,532.0999755859375,78.5707087,17.5446405
1742643449172000000,63.054,0,1.5,3.589430809020996,26.399999618530273,0.014086775481700897,0,532.0999755859375,78.570709,17.5446431
1742643457143000000,71.025,0,1.5,3.744225025177002,23.600000381469727,0.032757412642240524,0,532.0999755859375,78.5707086,17.5446383
